"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
1.23, 0.315078553, -3.4104465, -3.4104465, -9.81, 0.1
1.23, 0.315078553, -3.4104465, -3.4104465, -9.81, 0.1
1.24, 0.280532638, -3.5085465, -3.5085465, -9.81, 0.1
1.24, 0.280532638, -3.5085465, -3.5085465, -9.81, 0.1
1.25, 0.245005723, -3.6066465, -3.6066465, -9.81, 0.1
1.25, 0.245005723, -3.6066465, -3.6066465, -9.81, 0.1
1.26, 0.208497808, -3.7047465, -3.7047465, -9.81, 0.1
1.26, 0.208497808, -3.7047465, -3.7047465, -9.81, 0.1
1.27, 0.171008893, -3.8028465, -3.8028465, -9.81, 0.1
1.27, 0.171008893, -3.8028465, -3.8028465, -9.81, 0.1
1.28, 0.132538978, -3.9009465, -3.9009465, -9.81, 0.1
1.28, 0.132538978, -3.9009465, -3.9009465, -9.81, 0.1
1.29, 0.100867074175, 3.779964675, 3.779964675, -9.81, 0.1
1.29, 0.100867074175, 3.779964675, 3.779964675, -9.81, 0.1
1.3, 0.138225270925, 3.681864675, 3.681864675, -9.81, 0.1
1.3, 0.138225270925, 3.681864675, 3.681864675, -9.81, 0.1
1.31, 0.174602467675, 3.583764675, 3.583764675, -9.81, 0.1
1.31, 0.174602467675, 3.583764675, 3.583764675, -9.81, 0.1
1.32, 0.209998664425, 3.485664675, 3.485664675, -9.81, 0.1
1.32, 0.209998664425, 3.485664675, 3.485664675, -9.81, 0.1
1.33, 0.244413861175, 3.387564675, 3.387564675, -9.81, 0.1
1.33, 0.244413861175, 3.387564675, 3.387564675, -9.81, 0.1
1.34, 0.277848057925, 3.289464675, 3.289464675, -9.81, 0.1
1.34, 0.277848057925, 3.289464675, 3.289464675, -9.81, 0.1
1.35, 0.310301254675, 3.191364675, 3.191364675, -9.81, 0.1
1.35, 0.310301254675, 3.191364675, 3.191364675, -9.81, 0.1
1.36, 0.341773451425, 3.093264675, 3.093264675, -9.81, 0.1
1.36, 0.341773451425, 3.093264675, 3.093264675, -9.81, 0.1
1.37, 0.372264648175, 2.995164675, 2.995164675, -9.81, 0.1
1.37, 0.372264648175, 2.995164675, 2.995164675, -9.81, 0.1
1.38, 0.401774844925, 2.897064675, 2.897064675, -9.81, 0.1
1.38, 0.401774844925, 2.897064675, 2.897064675, -9.81, 0.1
1.39, 0.430304041675, 2.798964675, 2.798964675, -9.81, 0.1
1.39, 0.430304041675, 2.798964675, 2.798964675, -9.81, 0.1
1.4, 0.457852238425, 2.700864675, 2.700864675, -9.81, 0.1
1.4, 0.457852238425, 2.700864675, 2.700864675, -9.81, 0.1
1.41, 0.484419435175, 2.602764675, 2.602764675, -9.81, 0.1
1.41, 0.484419435175, 2.602764675, 2.602764675, -9.81, 0.1
1.42, 0.510005631925, 2.504664675, 2.504664675, -9.81, 0.1
1.42, 0.510005631925, 2.504664675, 2.504664675, -9.81, 0.1
1.43, 0.534610828675, 2.406564675, 2.406564675, -9.81, 0.1
1.43, 0.534610828675, 2.406564675, 2.406564675, -9.81, 0.1
